iter	Passed	Remaining
166	966	4821
167	972	4814
168	978	4810
169	984	4804
170	989	4797
171	995	4790
172	1000	4782
173	1005	4775
174	1011	4767
175	1016	4760
176	1022	4753
177	1028	4748
178	1033	4741
179	1038	4733
180	1044	4724
181	1049	4716
182	1054	4708
183	1060	4701
184	1065	4694
185	1071	4687
186	1077	4684
187	1083	4679
188	1088	4672
189	1095	4670
190	1101	4664
191	1106	4657
192	1112	4650
193	1117	4644
194	1123	4639
195	1129	4632
196	1135	4626
197	1140	4619
198	1145	4611
199	1150	4602
200	1155	4594
201	1161	4587
202	1166	4579
203	1172	4574
204	1178	4568
205	1183	4560
206	1188	4552
207	1193	4545
208	1199	4539
209	1205	4533
210	1210	4527
211	1216	4520
212	1221	4513
213	1227	4507
214	1232	4499
215	1237	4493
216	1243	4486
217	1248	4479
218	1254	4472
219	1259	4466
220	1265	4459
221	1271	4456
222	1276	4449
223	1282	4441
224	1287	4434
225	1292	4427
226	1298	4420
227	1303	4413
228	1308	4407
229	1314	4400
230	1319	4393
231	1327	4395
232	1333	4389
233	1339	4383
234	1344	4377
235	1350	4371
236	1355	4364
237	1361	4357
238	1366	4350
239	1371	4344
240	1377	4336
241	1382	4330
242	1387	4323
243	1395	4323
244	1401	4317
245	1406	4310
246	1411	4303
247	1418	4300
248	1424	4295
249	1429	4288
250	1435	4282
251	1440	4275
252	1446	4269
253	1451	4262
254	1456	4255
255	1461	4248
256	1467	4241
257	1472	4234
258	1477	4227
259	1483	4222
260	1489	4216
261	1494	4209
262	1499	4203
263	1505	4196
264	1510	4189
265	1515	4182
266	1521	4177
267	1526	4170
268	1532	4163
269	1537	4156
270	1543	4151
271	1548	4144
272	1554	4139
273	1560	4133
274	1565	4127
275	1571	4121
276	1576	4114
277	1581	4107
278	1586	4100
279	1592	4094
280	1597	4087
281	1602	4080
282	1607	4073
283	1613	4067
284	1618	4060
285	1624	4054
286	1629	4048
287	1634	4040
288	1639	4033
289	1644	4027
290	1650	4020
291	1655	4014
292	1660	4007
293	1668	4005
294	1673	3999
295	1678	3993
296	1684	3986
297	1689	3980
298	1695	3974
299	1700	3968
300	1706	3962
301	1711	3956
302	1717	3951
303	1723	3945
304	1729	3939
305	1734	3933
306	1740	3928
307	1745	3921
308	1750	3915
309	1755	3908
310	1761	3902
311	1767	3898
312	1776	3899
313	1783	3897
314	1790	3892
315	1795	3886
316	1801	3880
317	1807	3875
318	1812	3869
319	1818	3863
320	1824	3858
321	1829	3852
322	1834	3845
323	1840	3839
324	1845	3832
325	1850	3826
326	1856	3820
327	1861	3814
328	1867	3808
329	1873	3802
330	1878	3796
331	1883	3789
332	1888	3783
333	1894	3776
334	1899	3770
335	1905	3764
336	1913	3763
337	1919	3758
338	1924	3752
339	1930	3746
340	1935	3740
341	1944	3741
342	1956	3747
343	1965	3747
344	1970	3741
345	1975	3734
346	1981	3727
347	1986	3721
348	1992	3716
349	1997	3709
350	2002	3703
351	2008	3697
352	2013	3691
353	2019	3684
354	2024	3678
355	2030	3672
356	2035	3666
357	2040	3659
358	2045	3652
359	2050	3645
360	2055	3638
361	2060	3632
362	2066	3625
363	2072	3621
364	2077	3614
365	2083	3608
366	2088	3601
367	2093	3594
368	2098	3588
369	2103	3582
370	2109	3575
371	2114	3569
372	2120	3563
373	2125	3557
374	2130	3550
375	2135	3544
376	2140	3537
377	2145	3531
378	2151	3524
379	2156	3518
380	2164	3517
381	2172	3514
382	2177	3507
383	2183	3502
384	2188	3496
385	2194	3490
386	2199	3483
387	2204	3477
388	2209	3471
389	2214	3464
390	2220	3459
391	2226	3453
392	2231	3446
393	2236	3440
394	2242	3434
395	2247	3427
396	2252	3420
397	2257	3414
398	2263	3409
399	2269	3403
400	2274	3397
401	2280	3391
402	2285	3385
403	2290	3378
404	2295	3372
405	2301	3366
406	2306	3360
407	2313	3356
408	2319	3352
409	2325	3346
410	2330	3340
411	2336	3334
412	2341	3327
413	2347	3322
414	2352	3315
415	2357	3309
416	2362	3303
417	2368	3297
418	2373	3291
419	2378	3284
420	2386	3281
421	2391	3275
422	2398	3272
423	2403	3265
424	2409	3259
425	2414	3253
426	2420	3247
427	2425	3241
428	2430	3235
429	2435	3228
430	2441	3222
431	2446	3216
432	2451	3210
433	2456	3204
434	2462	3197
435	2467	3191
436	2472	3185
437	2477	3179
438	2483	3173
439	2488	3166
440	2493	3160
441	2498	3154
442	2503	3148
443	2508	3141
444	2514	3135
445	2519	3129
446	2524	3123
447	2530	3118
448	2536	3112
449	2541	3106
450	2546	3099
451	2551	3093
452	2556	3087
453	2561	3080
454	2566	3074
455	2572	3068
456	2577	3062
457	2582	3056
458	2587	3050
459	2592	3043
460	2597	3037
461	2603	3031
462	2608	3025
463	2613	3019
464	2618	3012
465	2623	3006
466	2629	3000
467	2633	2994
468	2638	2987
469	2645	2983
470	2650	2976
471	2655	2970
472	2660	2964
473	2665	2958
474	2671	2952
475	2676	2946
476	2681	2939
477	2686	2933
478	2691	2927
479	2696	2921
480	2702	2915
481	2707	2909
482	2712	2903
483	2717	2897
484	2722	2890
485	2727	2884
486	2732	2878
487	2737	2871
488	2742	2865
489	2747	2859
490	2752	2853
491	2757	2847
492	2762	2841
493	2769	2836
494	2774	2830
495	2785	2830
496	2795	2829
497	2800	2823
498	2805	2817
499	2811	2811
500	2817	2805
501	2823	2801
502	2831	2797
503	2843	2798
504	2849	2792
505	2854	2786
506	2859	2780
507	2865	2775
508	2870	2769
509	2875	2763
510	2881	2757
511	2886	2751
512	2893	2746
513	2898	2740
514	2904	2735
515	2913	2732
516	2924	2732
517	2935	2731
518	2940	2725
519	2947	2721
520	2954	2716
521	2960	2710
522	2965	2704
523	2971	2699
524	2976	2693
525	2981	2687
526	2987	2681
527	2992	2675
528	2997	2669
529	3002	2663
530	3009	2657
531	3016	2653
532	3022	2648
533	3027	2642
534	3032	2636
535	3038	2630
536	3045	2626
537	3051	2620
538	3056	2614
539	3061	2608
540	3066	2602
541	3072	2595
542	3077	2589
543	3082	2583
544	3089	2579
545	3094	2572
546	3099	2566
547	3104	2560
548	3109	2554
549	3114	2548
550	3119	2542
551	3124	2536
552	3130	2530
553	3136	2525
554	3141	2519
555	3146	2512
556	3152	2506
557	3157	2501
558	3162	2495
559	3168	2489
560	3173	2483
561	3178	2477
562	3188	2474
563	3198	2472
564	3208	2470
565	3216	2466
566	3221	2460
567	3227	2454
568	3232	2448
569	3237	2442
570	3242	2436
571	3247	2430
572	3252	2424
573	3259	2418
574	3264	2412
575	3269	2406
576	3274	2400
577	3280	2394
578	3285	2388
579	3290	2382
580	3295	2376
581	3300	2370
582	3309	2367
583	3317	2363
584	3327	2360
585	3332	2354
586	3337	2347
587	3342	2341
588	3347	2335
589	3352	2329
590	3357	2323
591	3362	2317
592	3368	2311
593	3375	2307
594	3380	2301
595	3386	2295
596	3391	2289
597	3396	2283
598	3401	2277
599	3406	2271
600	3411	2265
601	3417	2259
602	3422	2253
603	3427	2246
604	3432	2240
605	3437	2234
606	3442	2228
607	3450	2224
608	3460	2221
609	3468	2217
610	3474	2211
611	3479	2206
612	3485	2200
613	3490	2194
614	3499	2190
615	3505	2185
616	3511	2179
617	3516	2173
618	3521	2167
619	3526	2161
620	3532	2155
621	3537	2149
622	3542	2143
623	3547	2137
624	3552	2131
625	3557	2125
626	3562	2119
627	3567	2113
628	3572	2107
629	3577	2101
630	3582	2094
631	3587	2088
632	3592	2082
633	3597	2076
634	3602	2070
635	3608	2064
636	3613	2058
637	3618	2053
638	3625	2047
639	3630	2041
640	3635	2035
641	3640	2029
642	3645	2023
643	3650	2017
644	3655	2011
645	3660	2005
646	3665	1999
647	3670	1993
648	3675	1987
649	3680	1981
650	3686	1976
651	3691	1970
652	3703	1968
653	3709	1962
654	3714	1956
655	3719	1950
656	3724	1944
657	3729	1938
658	3734	1932
659	3739	1926
660	3745	1920
661	3750	1914
662	3757	1909
663	3762	1903
664	3767	1897
665	3772	1892
666	3781	1887
667	3792	1884
668	3797	1878
669	3803	1873
670	3808	1867
671	3813	1861
672	3818	1855
673	3823	1849
674	3828	1843
675	3833	1837
676	3838	1831
677	3843	1825
678	3848	1819
679	3853	1813
680	3858	1807
681	3864	1801
682	3869	1795
683	3874	1789
684	3879	1783
685	3886	1778
686	3892	1773
687	3897	1767
688	3902	1761
689	3907	1755
690	3913	1749
691	3918	1743
692	3923	1737
693	3928	1732
694	3933	1726
695	3941	1721
696	3950	1717
697	3957	1712
698	3965	1707
699	3970	1701
700	3975	1695
701	3981	1690
702	3986	1684
703	3991	1678
704	3996	1672
705	4003	1667
706	4008	1661
707	4013	1655
708	4018	1649
709	4023	1643
710	4028	1637
711	4033	1631
712	4039	1625
713	4044	1620
714	4050	1614
715	4055	1608
716	4060	1602
717	4064	1596
718	4069	1590
719	4074	1584
720	4079	1578
721	4085	1572
722	4090	1567
723	4095	1561
724	4100	1555
725	4105	1549
726	4110	1543
727	4115	1537
728	4120	1531
729	4125	1525
730	4130	1520
731	4135	1514
732	4141	1508
733	4146	1502
734	4155	1498
735	4160	1492
736	4165	1486
737	4171	1480
738	4176	1475
739	4181	1469
740	4187	1463
741	4192	1457
742	4197	1451
743	4202	1446
744	4207	1440
745	4212	1434
746	4218	1428
747	4223	1422
748	4228	1416
749	4233	1411
750	4238	1405
751	4243	1399
752	4249	1393
753	4254	1387
754	4259	1382
755	4264	1376
756	4269	1370
757	4274	1364
758	4279	1358
759	4284	1353
760	4290	1347
761	4295	1341
762	4301	1335
763	4305	1330
764	4311	1324
765	4317	1318
766	4322	1312
767	4326	1307
768	4331	1301
769	4337	1295
770	4342	1289
771	4347	1283
772	4352	1278
773	4356	1272
774	4364	1266
775	4369	1261
776	4374	1255
777	4378	1249
778	4384	1243
779	4390	1238
780	4395	1232
781	4400	1226
782	4405	1220
783	4410	1215
784	4415	1209
785	4420	1203
786	4425	1197
787	4430	1191
788	4435	1186
789	4440	1180
790	4445	1174
791	4450	1168
792	4455	1163
793	4460	1157
794	4465	1151
795	4470	1145
796	4475	1139
797	4480	1134
798	4487	1128
799	4492	1123
800	4500	1118
801	4510	1113
802	4518	1108
803	4525	1103
804	4532	1097
805	4538	1092
806	4543	1086
807	4548	1080
808	4554	1075
809	4559	1069
810	4564	1063
811	4569	1057
812	4574	1052
813	4579	1046
814	4584	1040
815	4589	1034
816	4594	1029
817	4599	1023
818	4603	1017
819	4609	1011
820	4613	1005
821	4618	1000
822	4623	994
823	4629	988
824	4635	983
825	4640	977
826	4645	971
827	4650	966
828	4655	960
829	4660	954
830	4665	948
831	4671	943
832	4676	937
833	4681	931
834	4686	926
835	4692	920
836	4697	914
837	4702	909
838	4707	903
839	4712	897
840	4717	891
841	4722	886
842	4727	880
843	4732	874
844	4737	869
845	4746	863
846	4751	858
847	4756	852
848	4761	846
849	4766	841
850	4771	835
851	4777	829
852	4787	825
853	4795	819
854	4800	814
855	4805	808
856	4810	802
857	4815	796
858	4820	791
859	4825	785
860	4830	779
861	4835	774
862	4840	768
863	4845	762
864	4850	757
865	4855	751
866	4860	745
867	4865	739
868	4870	734
869	4875	728
870	4880	722
871	4885	717
872	4890	711
873	4898	706
874	4903	700
875	4909	694
876	4914	689
877	4918	683
878	4924	677
879	4929	672
880	4934	666
881	4939	660
882	4943	655
883	4948	649
884	4953	643
885	4958	637
886	4963	632
887	4974	627
888	4987	622
889	4993	617
890	4998	611
891	5003	605
892	5008	600
893	5013	594
894	5018	588
895	5023	583
896	5028	577
897	5033	571
898	5038	566
899	5043	560
900	5048	554
901	5053	549
902	5057	543
903	5062	537
904	5067	531
905	5072	526
906	5077	520
907	5082	514
908	5087	509
909	5093	503
910	5098	498
911	5102	492
912	5107	486
913	5113	481
914	5118	475
915	5125	470
916	5130	464
917	5135	458
918	5144	453
919	5156	448
920	5169	443
921	5181	438
922	5196	433
923	5202	427
924	5207	422
925	5212	416
926	5217	410
927	5222	405
928	5227	399
929	5233	393
930	5238	388
931	5243	382
932	5248	376
933	5253	371
934	5258	365
935	5263	359
936	5269	354
937	5274	348
938	5279	342
939	5284	337
940	5289	331
941	5294	325
942	5299	320
943	5305	314
944	5310	309
945	5315	303
946	5319	297
947	5324	292
948	5330	286
949	5334	280
950	5339	275
951	5344	269
952	5351	263
953	5356	258
954	5362	252
955	5367	247
956	5372	241
957	5377	235
958	5382	230
959	5387	224
960	5395	218
961	5400	213
962	5405	207
963	5410	202
964	5414	196
965	5419	190
966	5424	185
967	5430	179
968	5435	173
969	5440	168
970	5445	162
971	5450	156
972	5454	151
973	5459	145
974	5464	140
975	5469	134
976	5474	128
977	5479	123
978	5485	117
979	5490	112
980	5495	106
981	5500	100
982	5505	95
983	5510	89
984	5515	83
985	5520	78
986	5525	72
987	5530	67
988	5535	61
989	5540	55
990	5545	50
991	5550	44
992	5555	39
993	5560	33
994	5565	27
995	5570	22
996	5575	16
997	5580	11
998	5585	5
999	5590	0
